|Index|pVelocitySplineBuffer|pPositionSplineBuffer
|991|32.7597|15.2954
|992|32.7612|15.3281
|993|32.7627|15.3609
|994|32.7641|15.3936
|995|32.7654|15.4264
|996|32.7667|15.4592
|997|32.768|15.4919
|998|32.7692|15.5247
|999|32.7703|15.5575
|1000|32.7714|15.5903
|1001|32.7724|15.623
|1002|32.7734|15.6558
|1003|32.7744|15.6886
|1004|32.7753|15.7214
|1005|32.7761|15.7541
|1006|32.777|15.7869
|1007|32.7777|15.8197
|1008|32.7785|15.8525
|1009|32.7791|15.8852
|1010|32.7798|15.918
|1011|32.7804|15.9508
|1012|32.781|15.9836
|1013|32.7815|16.0164
|1014|32.782|16.0491
|1015|32.7825|16.0819
|1016|32.7829|16.1147
|1017|32.7833|16.1475
|1018|32.7837|16.1803
|1019|32.7841|16.2131
|1020|32.7844|16.2458
|1021|32.7847|16.2786
|1022|32.7849|16.3114
|1023|32.7852|16.3442
|1024|32.7854|16.377
|1025|32.7856|16.4098
|1026|32.7858|16.4426
|1027|32.7859|16.4753
|1028|32.7861|16.5081
|1029|32.7862|16.5409
|1030|32.7863|16.5737
|1031|32.7864|16.6065
|1032|32.7865|16.6393
|1033|32.7865|16.6721
|1034|32.7866|16.7048
|1035|32.7866|16.7376
|1036|32.7867|16.7704
